date,region,week_cases
2020-11-09,2,3213
2020-11-09,14,26774
2020-11-09,3,2220
2020-11-09,4,11
2020-11-09,5,6
2020-11-09,6,0
2020-11-09,7,16
2020-11-09,8,2
2020-11-09,9,7740
2020-11-09,10,2
2020-11-09,11,7971
2020-11-09,12,795
2020-11-09,13,0
2020-11-16,1,6029
2020-11-16,2,4230
2020-11-16,14,33457
2020-11-16,3,2844
2020-11-16,4,20
2020-11-16,5,6
2020-11-16,6,5
2020-11-16,7,17
2020-11-16,8,24
2020-11-16,9,10101
2020-11-16,10,2
2020-11-16,11,9083
2020-11-16,12,1095
2020-11-16,13,1
2020-11-23,1,8232
2020-11-23,2,4463
2020-11-23,14,35363
2020-11-23,3,2748
2020-11-23,4,70
2020-11-23,5,18
2020-11-23,6,0
2020-11-23,7,44
2020-11-23,8,108
2020-11-23,9,10005
2020-11-23,10,1
2020-11-23,11,8134
2020-11-23,12,1526
2020-11-23,13,14
2020-11-30,1,9756
2020-11-30,2,5831
2020-11-30,14,40584
2020-11-30,3,2738
2020-11-30,4,56
2020-11-30,5,17
2020-11-30,6,0
2020-11-30,7,115
2020-11-30,8,47
2020-11-30,9,10991
2020-11-30,10,3
2020-11-30,11,9165
2020-11-30,12,1856
2020-11-30,13,9
2020-12-07,1,12124
2020-12-07,2,4914
2020-12-07,14,44914
2020-12-07,3,2306
2020-12-07,4,35
2020-12-07,5,13
2020-12-07,6,0
2020-12-07,7,71
2020-12-07,8,38
2020-12-07,9,12742
2020-12-07,10,12
2020-12-07,11,10805
2020-12-07,12,1847
2020-12-07,13,7
2020-12-14,1,11685
2020-12-14,2,4791
2020-12-14,14,45807
2020-12-14,3,2133
2020-12-14,4,22
2020-12-14,5,8
2020-12-14,6,6
2020-12-14,7,44
2020-12-14,8,37
2020-12-14,9,12887
2020-12-14,10,5
2020-12-14,11,12359
2020-12-14,12,1825
2020-12-14,13,5
2020-12-21,1,9473
2020-12-21,2,4124
2020-12-21,14,46452
2020-12-21,3,1761
2020-12-21,4,16
2020-12-21,5,23
2020-12-21,6,3
2020-12-21,7,27
2020-12-21,8,6
2020-12-21,9,15932
2020-12-21,10,2
2020-12-21,11,13558
2020-12-21,12,1523
2020-12-21,13,0
2020-12-28,1,6810
2020-12-28,2,3366
2020-12-28,14,43751
2020-12-28,3,1227
2020-12-28,4,15
2020-12-28,5,7
2020-12-28,6,0
2020-12-28,7,31
2020-12-28,8,4
2020-12-28,9,15302
2020-12-28,10,3
2020-12-28,11,15837
2020-12-28,12,1148
2020-12-28,13,1
2021-01-04,1,7266
2021-01-04,2,3768
2021-01-04,14,52361
2021-01-04,3,992
2021-01-04,4,42
2021-01-04,5,2
2021-01-04,6,0
2021-01-04,7,27
2021-01-04,8,0
2021-01-04,9,20877
2021-01-04,10,2
2021-01-04,11,17920
2021-01-04,12,1460
2021-01-04,13,5
2021-01-11,1,6556
2021-01-11,2,3906
2021-01-11,14,56759
2021-01-11,3,1204
2021-01-11,4,165
2021-01-11,5,2
2021-01-11,6,0
2021-01-11,7,28
2021-01-11,8,0
2021-01-11,9,24888
2021-01-11,10,6
2021-01-11,11,17840
2021-01-11,12,2159
2021-01-11,13,5
2021-01-18,1,5220
2021-01-18,2,3340
2021-01-18,14,46889
2021-01-18,3,1181
2021-01-18,4,173
2021-01-18,5,3
2021-01-18,6,4
2021-01-18,7,24
2021-01-18,8,0
2021-01-18,9,21244
2021-01-18,10,6
2021-01-18,11,13658
2021-01-18,12,2036
2021-01-18,13,0
2021-01-25,1,4224
2021-01-25,2,3381
2021-01-25,14,37939
2021-01-25,3,1181
2021-01-25,4,178
2021-01-25,5,2
2021-01-25,6,3
2021-01-25,7,14
2021-01-25,8,16
2021-01-25,9,16596
2021-01-25,10,2
2021-01-25,11,10488
2021-01-25,12,1854
2021-01-25,13,0
2021-02-01,1,3028
2021-02-01,2,3109
2021-02-01,14,30578
2021-02-01,3,841
2021-02-01,4,113
2021-02-01,5,10
2021-02-01,6,0
2021-02-01,7,10
2021-02-01,8,12
2021-02-01,9,13220
2021-02-01,10,3
2021-02-01,11,8637
2021-02-01,12,1595
2021-02-01,13,0
2021-02-08,1,2473
2021-02-08,2,3015
2021-02-08,14,24531
2021-02-08,3,638
2021-02-08,4,82
2021-02-08,5,19
2021-02-08,6,1
2021-02-08,7,5
2021-02-08,8,5
2021-02-08,9,9292
2021-02-08,10,0
2021-02-08,11,7438
2021-02-08,12,1563
2021-02-08,13,0
2021-02-15,1,2039
2021-02-15,2,3029
2021-02-15,14,21069
2021-02-15,3,547
2021-02-15,4,55
2021-02-15,5,277
2021-02-15,6,6
2021-02-15,7,8
2021-02-15,8,19
2021-02-15,9,7360
2021-02-15,10,1
2021-02-15,11,6607
2021-02-15,12,1119
2021-02-15,13,2
2021-02-22,1,2261
2021-02-22,2,3282
2021-02-22,14,20319
2021-02-22,3,639
2021-02-22,4,23
2021-02-22,5,235
2021-02-22,6,4
2021-02-22,7,16
2021-02-22,8,33
2021-02-22,9,7312
2021-02-22,10,1
2021-02-22,11,5409
2021-02-22,12,1104
2021-02-22,13,0
2021-03-01,1,2459
2021-03-01,2,3666
2021-03-01,14,20782
2021-03-01,3,419
2021-03-01,4,7
2021-03-01,5,50
2021-03-01,6,0
2021-03-01,7,32
2021-03-01,8,7
2021-03-01,9,7695
2021-03-01,10,17
2021-03-01,11,5426
2021-03-01,12,1004
2021-03-01,13,0
2021-03-08,1,2324
2021-03-08,2,3640
2021-03-08,14,20402
2021-03-08,3,390
2021-03-08,4,28
2021-03-08,5,20
2021-03-08,6,0
2021-03-08,7,17
2021-03-08,8,23
2021-03-08,9,8088
2021-03-08,10,11
2021-03-08,11,4857
2021-03-08,12,1004
2021-03-08,13,0
2021-03-15,1,2669
2021-03-15,2,3804
2021-03-15,14,22354
2021-03-15,3,508
2021-03-15,4,12
2021-03-15,5,3
2021-03-15,6,0
2021-03-15,7,11
2021-03-15,8,2
2021-03-15,9,9447
2021-03-15,10,0
2021-03-15,11,4976
2021-03-15,12,922
2021-03-15,13,0
2021-03-22,1,3602
2021-03-22,2,4198
2021-03-22,14,25667
2021-03-22,3,621
2021-03-22,4,27
2021-03-22,5,2
2021-03-22,6,0
2021-03-22,7,20
2021-03-22,8,12
2021-03-22,9,11199
2021-03-22,10,7
2021-03-22,11,4865
2021-03-22,12,1114
2021-03-22,13,0
2021-03-29,1,4495
2021-03-29,2,5624
2021-03-29,14,33006
2021-03-29,3,562
2021-03-29,4,89
2021-03-29,5,2
2021-03-29,6,0
2021-03-29,7,21
2021-03-29,8,0
2021-03-29,9,14661
2021-03-29,10,6
2021-03-29,11,6151
2021-03-29,12,1394
2021-03-29,13,1
2021-04-05,1,6309
2021-04-05,2,6725
2021-04-05,14,42654
2021-04-05,3,512
2021-04-05,4,75
2021-04-05,5,4
2021-04-05,6,1
2021-04-05,7,30
2021-04-05,8,0
2021-04-05,9,19303
2021-04-05,10,4
2021-04-05,11,8162
2021-04-05,12,1528
2021-04-05,13,1
2021-04-12,1,8844
2021-04-12,2,7909
2021-04-12,14,56641
2021-04-12,3,837
2021-04-12,4,70
2021-04-12,5,10
2021-04-12,6,0
2021-04-12,7,34
2021-04-12,8,0
2021-04-12,9,26472
2021-04-12,10,5
2021-04-12,11,10618
2021-04-12,12,1841
2021-04-12,13,1
2021-04-19,1,10148
2021-04-19,2,7211
2021-04-19,14,60753
2021-04-19,3,935
2021-04-19,4,65
2021-04-19,5,16
2021-04-19,6,0
2021-04-19,7,47
2021-04-19,8,28
2021-04-19,9,30433
2021-04-19,10,8
2021-04-19,11,10062
2021-04-19,12,1798
2021-04-19,13,2
2021-04-26,1,11115
2021-04-26,2,6209
2021-04-26,14,56150
2021-04-26,3,1548
2021-04-26,4,61
2021-04-26,5,16
2021-04-26,6,8
2021-04-26,7,297
2021-04-26,8,41
2021-04-26,9,27419
2021-04-26,10,4
2021-04-26,11,7653
2021-04-26,12,1775
2021-04-26,13,4
2021-05-03,1,13609
2021-05-03,2,5407
2021-05-03,14,55344
2021-05-03,3,1716
2021-05-03,4,96
2021-05-03,5,42
2021-05-03,6,8
2021-05-03,7,735
2021-05-03,8,64
2021-05-03,9,25040
2021-05-03,10,5
2021-05-03,11,6981
2021-05-03,12,1640
2021-05-03,13,1
2021-05-10,1,13477
2021-05-10,2,4452
2021-05-10,14,50938
2021-05-10,3,2927
2021-05-10,4,59
2021-05-10,5,37
2021-05-10,6,43
2021-05-10,7,1180
2021-05-10,8,44
2021-05-10,9,21118
2021-05-10,10,5
2021-05-10,11,6118
2021-05-10,12,1478
2021-05-10,13,0
2021-05-17,1,9295
2021-05-17,2,3556
2021-05-17,14,39907
2021-05-17,3,3128
2021-05-17,4,60
2021-05-17,5,62
2021-05-17,6,19
2021-05-17,7,793
2021-05-17,8,52
2021-05-17,9,16467
2021-05-17,10,5
2021-05-17,11,5051
2021-05-17,12,1417
2021-05-17,13,2
2021-05-24,1,4965
2021-05-24,2,2683
2021-05-24,14,28904
2021-05-24,3,3209
2021-05-24,4,71
2021-05-24,5,55
2021-05-24,6,6
2021-05-24,7,508
2021-05-24,8,15
2021-05-24,9,12425
2021-05-24,10,8
2021-05-24,11,3962
2021-05-24,12,997
2021-05-24,13,0
2021-05-31,1,2862
2021-05-31,2,1942
2021-05-31,14,18563
2021-05-31,3,2297
2021-05-31,4,66
2021-05-31,5,53
2021-05-31,6,1
2021-05-31,7,232
2021-05-31,8,9
2021-05-31,9,7548
2021-05-31,10,4
2021-05-31,11,2510
2021-05-31,12,1039
2021-05-31,13,0
2021-06-07,1,1810
2021-06-07,2,1241
2021-06-07,14,12569
2021-06-07,3,1832
2021-06-07,4,56
2021-06-07,5,43
2021-06-07,6,0
2021-06-07,7,113
2021-06-07,8,1
2021-06-07,9,5148
2021-06-07,10,2
2021-06-07,11,1641
2021-06-07,12,679
2021-06-07,13,3
2021-06-14,1,1259
2021-06-14,2,923
2021-06-14,14,9142
2021-06-14,3,1564
2021-06-14,4,33
2021-06-14,5,25
2021-06-14,6,0
2021-06-14,7,69
2021-06-14,8,8
2021-06-14,9,3523
2021-06-14,10,0
2021-06-14,11,1152
2021-06-14,12,569
2021-06-14,13,17
2021-06-21,1,841
2021-06-21,2,678
2021-06-21,14,6295
2021-06-21,3,918
2021-06-21,4,19
2021-06-21,5,4
2021-06-21,6,0
2021-06-21,7,42
2021-06-21,8,0
2021-06-21,9,2338
2021-06-21,10,0
2021-06-21,11,899
2021-06-21,12,473
2021-06-21,13,83
2021-06-28,1,431
2021-06-28,2,418
2021-06-28,14,4555
2021-06-28,3,638
2021-06-28,4,8
2021-06-28,5,2
2021-06-28,6,0
2021-06-28,7,40
2021-06-28,8,0
2021-06-28,9,1946
2021-06-28,10,0
2021-06-28,11,649
2021-06-28,12,302
2021-06-28,13,121
